"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2011","VT","Vermont","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","11.1","IBCLCs Count"
"2017","US","National","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","30.8","Percent of WIC Farmers Markets"
"2012","NY","New York","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","No","State Guidance on Policies for School Activity Facilities"
"2019","ME","Maine","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","WV","West Virginia","Fruits and Vegetables","Number of food hubs in each state","1","Food Hubs Count"
"2015","IL","Illinois","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","AZ","Arizona","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","34.7","Percent Sec Schools Allowing Sports Drink"
"2018","AR","Arkansas","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","OH","Ohio","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.9","La Leche Leaders Count"
"2012","AZ","Arizona","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2019","OH","Ohio","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","NV","Nevada","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","MA","Massachusetts","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","KS","Kansas","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2013","MO","Missouri","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","NM","New Mexico","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","8.2","Percent Sec Schools Allowing Soda Purchase"
"2011","NH","New Hampshire","Breastfeeding","Number of La Leche League leaders per 1,000 live births","2.5","La Leche Leaders Count"
"2019","MD","Maryland","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2011","KY","Kentucky","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2011","IA","Iowa","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","ME","Maine","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","MO","Missouri","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","RI","Rhode Island","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","48","Percent of Youth with Activity Areas Nearby"
"2014","UT","Utah","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","48.3","Percent Sec Schools Allowing Soda Purchase"
"2014","FL","Florida","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2014","OK","Oklahoma","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.4","Percent of BFHI births"
"2017","HI","Hawaii","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","19.9","Percent of BFHI births"
"2014","WV","West Virginia","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2019","DE","Delaware","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2019","CT","Connecticut","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","NM","New Mexico","Fruits and Vegetables","Number of farmers markets per 100,000 residents","3.4","Farmers Market Count"
"2016","AZ","Arizona","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","25.3","Percent Sec Schools Allowing Sports Drink"
"2017","MS","Mississippi","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","15.7","Percent of WIC Farmers Markets"
"2012","TX","Texas","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.1","IBCLCs Count"
"2012","CT","Connecticut","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","KY","Kentucky","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","48.4","Percent Sec Schools Allowing Sports Drink"
"2012","TN","Tennessee","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","Yes","State Guidance on Policies for School Activity Facilities"
"2015","DE","Delaware","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2015","KY","Kentucky","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2012","KS","Kansas","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2014","ID","Idaho","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","WI","Wisconsin","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","4.1","IBCLCs Count"
"2019","CT","Connecticut","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","IL","Illinois","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2012","VA","Virginia","Fruits and Vegetables","Number of food hubs in each state","18","Food Hubs Count"
"2019","SC","South Carolina","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","NY","New York","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","FL","Florida","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2014","TX","Texas","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","38.5","Percent Sec Schools Allowing Sports Drink"
"2014","CT","Connecticut","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","8.5","Percent Sec Schools Allowing Sports Drink"
"2011","ND","North Dakota","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2011","MO","Missouri","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","SC","South Carolina","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","ID","Idaho","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2016","NM","New Mexico","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","NE","Nebraska","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2019","DE","Delaware","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2011","RI","Rhode Island","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","9.4","Percent of BFHI births"
"2011","MD","Maryland","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2016","KS","Kansas","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","US","National","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.7","IBCLCs Count"
"2017","MT","Montana","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","LA","Louisiana","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","MD","Maryland","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","NC","North Carolina","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","10.1","Percent of BFHI births"
"2015","SC","South Carolina","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2011","ME","Maine","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","CA","California","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.7","La Leche Leaders Count"
"2016","NC","North Carolina","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","ND","North Dakota","Fruits and Vegetables","Number of food hubs in each state","0","Food Hubs Count"
"2012","NH","New Hampshire","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2019","IA","Iowa","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","AR","Arkansas","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","18.8","Percent of WIC Farmers Markets"
"2013","DC","District of Columbia","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","CT","Connecticut","Physical Activity","State provides guidance on policies for school districts or schools on time spent in moderate-to-vigorous intensity physical activity during physical education class","Yes","State Guidance on Policies for Time Spent in Activity During PE Class"
"2011","ME","Maine","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","MA","Massachusetts","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2015","LA","Louisiana","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","UT","Utah","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","CA","California","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","21.4","Percent of BFHI births"
"2012","NM","New Mexico","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.2","IBCLCs Count"
"2014","CO","Colorado","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","MT","Montana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","AK","Alaska","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2018","MD","Maryland","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","KS","Kansas","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","AZ","Arizona","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2019","NY","New York","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","WY","Wyoming","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","NM","New Mexico","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","IL","Illinois","Fruits and Vegetables","Number of local food policy councils in each state","2","Local Food Policy Council Count"
"2019","DC","District of Columbia","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","CA","California","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","43.2","Percent Sec Schools Allowing Sports Drink"
"2015","AL","Alabama","Physical Activity","Percent of U.S. population living within 1/2 mile of a park","23.2","Percent People Living 1/2 Mile of a Park"
"2013","SC","South Carolina","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2014","RI","Rhode Island","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","NC","North Carolina","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","4.4","IBCLCs Count"
"2016","WI","Wisconsin","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.0","La Leche Leaders Count"
"2018","NY","New York","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","OH","Ohio","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","ND","North Dakota","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2019","NC","North Carolina","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2017","IN","Indiana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","NC","North Carolina","Fruits and Vegetables","Number of farmers markets per 100,000 residents","2.2","Farmers Market Count"
"2011","CA","California","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2011","SC","South Carolina","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","UT","Utah","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","1.7","IBCLCs Count"
"2017","NV","Nevada","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2016","NE","Nebraska","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2013","DE","Delaware","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2019","MO","Missouri","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","MI","Michigan","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2015","TX","Texas","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","ME","Maine","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","NC","North Carolina","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","OK","Oklahoma","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2018","OH","Ohio","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","IA","Iowa","Fruits and Vegetables","Number of farmers markets per 100,000 residents","7.3","Farmers Market Count"
"2012","AZ","Arizona","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2015","FL","Florida","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","CO","Colorado","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","VA","Virginia","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","MA","Massachusetts","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","NH","New Hampshire","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2017","AR","Arkansas","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","NV","Nevada","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","NH","New Hampshire","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","LA","Louisiana","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2015","RI","Rhode Island","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","MN","Minnesota","Fruits and Vegetables","Number of food hubs in each state","5","Food Hubs Count"
"2013","ND","North Dakota","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","FL","Florida","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","MT","Montana","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","4.1","IBCLCs Count"
"2017","NM","New Mexico","Fruits and Vegetables","Number of food hubs in each state","1","Food Hubs Count"
"2013","NY","New York","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","4.9","Percent of BFHI births"
"2012","HI","Hawaii","Fruits and Vegetables","Percent of farmers markets that accept SNAP benefits","30.7","Percent of SNAP Farmers Markets"
"2019","TX","Texas","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","WY","Wyoming","Fruits and Vegetables","Number of farmers markets per 100,000 residents","7.6","Farmers Market Count"
"2012","ND","North Dakota","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","79.1","Percent of Sec Schools Offering Salad Bar"
"2013","KS","Kansas","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","SC","South Carolina","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2011","MS","Mississippi","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","1.3","IBCLCs Count"
"2014","SD","South Dakota","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","79.6","Percent of Sec Schools Offering Salad Bar"
"2018","WY","Wyoming","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","FL","Florida","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","2.6","Percent of BFHI births"
"2012","ME","Maine","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","87.4","Percent of Sec Schools Offering Salad Bar"
"2013","AL","Alabama","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","2.5","Percent of BFHI births"
"2011","MN","Minnesota","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","TX","Texas","Physical Activity","State provides guidance on policies for school districts or schools on recess","Yes","State Guidance on Policies for School Recess"
"2012","SC","South Carolina","Fruits and Vegetables","Percent of farmers markets that accept SNAP benefits","13.6","Percent of SNAP Farmers Markets"
"2017","CA","California","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2013","DC","District of Columbia","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","ND","North Dakota","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","TN","Tennessee","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2015","MS","Mississippi","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2019","DC","District of Columbia","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2016","NM","New Mexico","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","43.4","Percent of Sec Schools Offering Salad Bar"
"2018","MO","Missouri","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","MT","Montana","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","FL","Florida","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","AL","Alabama","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2014","PA","Pennsylvania","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","Yes","State-National Alignment on Vegetable Serving Regulations"
"2016","DE","Delaware","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.4","La Leche Leaders Count"
"2017","MT","Montana","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","12.4","Percent of BFHI births"
"2017","KS","Kansas","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","2.6","Percent of WIC Farmers Markets"
"2011","UT","Utah","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.9","La Leche Leaders Count"
"2014","AL","Alabama","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","CA","California","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","21.3","Percent Sec Schools Allowing Sports Drink"
"2012","RI","Rhode Island","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","VA","Virginia","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","AZ","Arizona","Fruits and Vegetables","Existence of state-level Food Policy Council","No","State-Level Food Policy Council"
"2017","AR","Arkansas","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","DC","District of Columbia","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","66.3","Percent of BFHI births"
"2014","TN","Tennessee","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","21.7","Percent Sec Schools Allowing Soda Purchase"
"2017","WV","West Virginia","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","MN","Minnesota","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","ME","Maine","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","US","National","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","4","State-National Alignment on Vegetable Serving Regulations"
"2016","MI","Michigan","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","54.1","Percent of Sec Schools Offering Salad Bar"
"2011","GA","Georgia","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2019","IL","Illinois","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","FL","Florida","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","24.9","Percent Sec Schools Allowing Soda Purchase"
"2016","NH","New Hampshire","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","NM","New Mexico","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","31.8","Percent of Sec Schools Offering Salad Bar"
